ID,Title,Budget,Revenue,Total Time,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
438695,Sing 2,0.2727378000057139,0.4921751042913169,1h 50min,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12444,Harry Potter and the Deathly Hallows: Part 1,2.8176273220446064,2.299982017151543,2h 26min,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
436969,The Suicide Squad,1.8150950860898911,-0.2901639229216384,2h 12min,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10144,The Little Mermaid,-0.42132297873216584,-0.14962252151326738,1h 23min,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157336,Interstellar,1.5066236288730557,1.4672172005788326,2h 49min,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
663712,Terrifier 2,-1.0344099999506262,-0.796767080462322,2h 18min,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
228150,Fury,0.010537061371403762,-0.14805829895009112,2h 15min,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
265712,Stand by Me Doraemon,-0.4984408430363747,-0.5725792692633289,1h 30min,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
438148,Minions: The Rise of Gru,0.2727378000057139,2.251588641946961,1h 27min,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
597,Titanic,2.0464486790025176,6.618680296043202,3h 14min,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
747188,Asteroid City,-0.6526765716447924,-0.7082850087331826,1h 45min,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
667216,Infinity Pool,-0.9688598152920488,-0.8296944621218998,1h 58min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
238,The Godfather,-0.9457244560007861,-0.038435402882037756,2h 55min,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
649609,Renfield,-0.03573365721112155,-0.7666892276622487,1h 33min,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
718930,Bullet Train,0.34985566430992276,-0.057551228192962996,2h 6min,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
585,"Monsters, Inc.",0.7354449858309671,1.064902970070264,1h 32min,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862,Toy Story,-0.5755587073405836,0.4539290058760823,1h 21min,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1267,Meet the Robinsons,1.275270035960429,-0.28813439700631144,1h 35min,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11360,Dumbo,-1.0257419520028332,-0.8411630163225509,1h 4min,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
615777,Babylon,0.16477278997982148,-0.6606432287098536,3h 9min,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
335984,Blade Runner 2049,1.275270035960429,0.00829489018911986,2h 44min,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
631842,Knock at the Cabin,-0.7297944359490013,-0.666059654355729,1h 40min,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
816904,Mummies,-0.8485559469774829,-0.7336782914659433,1h 28min,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14836,Coraline,-0.11285152151533041,-0.4356224900230807,1h 40min,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49018,Insidious,-1.015130533874574,-0.517156294140801,1h 43min,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
580489,Venom: Let There Be Carnage,0.6583271215267582,0.8247301789590813,1h 37min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
324786,Hacksaw Ridge,-0.42132297873216584,-0.2684529020085925,2h 19min,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
14411,Sinbad: Legend of the Seven Seas,-0.11285152151533041,-0.5801403712544582,1h 30min,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38757,Tangled,2.9718630506530244,1.1069538760798596,1h 40min,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
760104,X,-0.884030164557419,-0.7977080037219632,1h 46min,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
646385,Scream,-0.6681001445056342,-0.38471098180760693,1h 54min,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
293660,Deadpool,-0.14369866723701397,1.7355030105313998,1h 48min,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338953,Fantastic Beasts: The Secrets of Dumbledore,2.0464486790025176,0.4953101106017941,2h 22min,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
315635,Spider-Man: Homecoming,1.6608593574814734,2.055540176752787,2h 13min,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
106646,The Wolf of Wall Street,0.5040913929183405,0.44601601999706825,3h 0min,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24428,The Avengers,2.3549201362193535,4.161214044350796,2h 23min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207703,Kingsman: The Secret Service,0.2110435085623468,0.5197107982771236,2h 9min,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7214,Coach Carter,-0.5755587073405836,-0.5936520518149156,2h 16min,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
177572,Big Hero 6,1.5066236288730557,1.3224709571691418,1h 42min,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8645,The Happening,-0.11285152151533041,-0.3076833593817892,1h 31min,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8587,The Lion King,-0.344205114427957,1.6707337736946695,1h 29min,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
808,Shrek,-0.11285152151533041,0.7620518398373246,1h 30min,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
216015,Fifty Shades of Grey,-0.42132297873216584,1.036213087964144,2h 5min,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
10138,Iron Man 2,2.0464486790025176,1.2107181754452732,2h 4min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,1.1210343073520113,1.313184395636319,2h 23min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
299534,Avengers: Endgame,4.452526045293834,7.5873720249012955,3h 1min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
283995,Guardians of the Galaxy Vol. 2,2.0464486790025176,2.001432257456415,2h 17min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12153,White Chicks,-0.4675936973146912,-0.47358347366586206,1h 49min,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102382,The Amazing Spider-Man 2,2.0464486790025176,1.4910653475297728,2h 21min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27205,Inception,1.4295057645688467,1.8754071198395397,2h 28min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91314,Transformers: Age of Extinction,2.2006844076109355,2.7937134436764244,2h 45min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,-0.7945734419645367,0.8122016011700776,1h 57min,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
514207,Invasion,-0.902242319391501,-0.7405887877581,2h 9min,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
354912,Coco,1.6608593574814734,1.7929579316241027,1h 45min,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
353081,Mission: Impossible - Fallout,1.7071300760639987,1.7637174145043595,2h 27min,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566525,Shang-Chi and the Legend of the Ten Rings,1.275270035960429,0.5787012705475012,2h 12min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
557,Spider-Man,1.1056107344911696,1.8627983933948138,2h 1min,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
523931,Megalodon,-1.036258083297958,-0.8464208558401783,1h 30min,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
337404,Cruella,2.0464486790025176,-0.07656009301434612,2h 14min,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,Pirates of the Caribbean: On Stranger Tides,4.699519141087398,2.6013610550564796,2h 17min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
278,The Shawshank Redemption,-0.6526765716447924,-0.7529943219137625,2h 22min,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
